Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C15742"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Price/Stock"; Value = "https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_STMicroelectronics-STM32F405RGT6_C15742.html?s_z=n_Stm32f405rg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_STMicroelectronics-STM32F405RGT6_C15742.html?s_z=n_Stm32f405rg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "STM32F405RGT6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "511-STM32F405RGT6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32F405RGT6?qs=Z8%252BeY1k3TIKgj7QWsYGpQw%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "STM32F405RGT6"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC102" ("IC102"); Footprint = "SOIC127P600X175-8N"; UniqueID = "\EQXHWNFI" ("\EQXHWNFI")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2410010302_Texas-Instruments-SN65HVD232DR_C30530.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.75mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C30530"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Price/Stock"; Value = "https://www.lcsc.com/product-detail/CAN-Transceivers_Texas-Instruments-SN65HVD232DR_C30530.html?s_z=n_SN65HVD232DR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/product-detail/CAN-Transceivers_Texas-Instruments-SN65HVD232DR_C30530.html?s_z=n_SN65HVD232DR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "NXP"; VariantName = "[No Variations]"
